H1size,H1error,rho_Tsize,rho_T,rho_Ssize,rho_S,rho_Esize,rho_E,rho_Asize,rho_A,stdEst,newEst,relation
20,0.00433179,20,0.042947,8,13.5476,36,0.0037546,8,0.00372922,0.0431108,13.5477,3127.49
80,0.915479,80,8.75051,16,95.4923,152,0.747779,16,0.55581,8.7824,95.8969,104.751
320,4.82578,320,45.5889,32,53.4126,624,4.13252,32,2.20779,45.7758,70.379,14.584
1280,7.69918,1280,60.4005,64,18.3218,2528,6.47506,64,2.34498,60.7465,63.4928,8.24669
5120,8.1967,5120,41.8872,128,5.97339,10176,7.40835,128,1.94904,42.5373,42.9988,5.24587
20480,5.73124,20480,22.537,256,1.99449,40832,6.9034,256,1.52069,23.5706,23.7036,4.13587
81920,3.18991,81920,11.4045,512,0.682403,163584,4.93003,512,1.01564,12.4245,12.4846,3.91378
